Quantity,Discipline,Quantity TypeId,Type Catalog String,Unit Name,Unit TypeId,Unit Symbol,Conversion Factor From Internal,Conversion Factor To Internal,Is Valid
"Air Flow","HVAC","autodesk.spec.aec.hvac:airFlow-2.0.0","HVAC_AIR_FLOW","Liters per minute","autodesk.unit.unit:litersPerMinute-1.0.1","LPM",1699.01079552,0.000588577778691477,True
"Air Flow","HVAC","autodesk.spec.aec.hvac:airFlow-2.0.0","HVAC_AIR_FLOW","Liters per second","autodesk.unit.unit:litersPerSecond-1.0.1","LPS",28.316846592,0.0353146667214886,True
"Air Flow","HVAC","autodesk.spec.aec.hvac:airFlow-2.0.0","HVAC_AIR_FLOW","US gallons per hour","autodesk.unit.unit:usGallonsPerHour-1.0.1","usgph",26929.8701298701,3.7133487654321E-05,True
"Air Flow","HVAC","autodesk.spec.aec.hvac:airFlow-2.0.0","HVAC_AIR_FLOW","US gallons per minute","autodesk.unit.unit:usGallonsPerMinute-1.0.1","usgpm",448.831143220342,0.00222800938639206,True
"Air Flow Density","HVAC","autodesk.spec.aec.hvac:airFlowDensity-2.0.0","HVAC_AIRFLOW_DENSITY","Cubic feet per minute square foot","autodesk.unit.unit:cubicFeetPerMinuteSquareFoot-1.0.1","CFM/SF",60,0.0166666666666667,True
"Air Flow Density","HVAC","autodesk.spec.aec.hvac:airFlowDensity-2.0.0","HVAC_AIRFLOW_DENSITY","Cubic meters per hour square meter","autodesk.unit.unit:cubicMetersPerHourSquareMeter-1.0.0","m³/(h·m²)",1097.28,0.000911344415281423,True
"Air Flow Density","HVAC","autodesk.spec.aec.hvac:airFlowDensity-2.0.0","HVAC_AIRFLOW_DENSITY","Liters per second square meter","autodesk.unit.unit:litersPerSecondSquareMeter-1.0.1","LPS/m²",304.8,0.00328083989501312,True
"Air Flow divided by Cooling Load","HVAC","autodesk.spec.aec.hvac:airFlowDividedByCoolingLoad-2.0.0","HVAC_AIRFLOW_DIVIDED_BY_COOLING_LOAD","Cubic feet per minute ton of refrigeration","autodesk.unit.unit:cubicFeetPerMinuteTonOfRefrigeration-1.0.1","CFM/ton",2271305.33644539,4.40275459205765E-07,True
"Air Flow divided by Cooling Load","HVAC","autodesk.spec.aec.hvac:airFlowDividedByCoolingLoad-2.0.0","HVAC_AIRFLOW_DIVIDED_BY_COOLING_LOAD","Liters per second kilowatt","autodesk.unit.unit:litersPerSecondKilowatt-1.0.1","L/(s·kW)",304800,3.28083989501312E-06,True
"Air Flow divided by Volume","HVAC","autodesk.spec.aec.hvac:airFlowDividedByVolume-2.0.0","HVAC_AIRFLOW_DIVIDED_BY_VOLUME","Cubic feet per minute cubic foot","autodesk.unit.unit:cubicFeetPerMinuteCubicFoot-1.0.1","CFM/ft³",60,0.0166666666666667,True
"Air Flow divided by Volume","HVAC","autodesk.spec.aec.hvac:airFlowDividedByVolume-2.0.0","HVAC_AIRFLOW_DIVIDED_BY_VOLUME","Cubic meters per hour cubic meter","autodesk.unit.unit:cubicMetersPerHourCubicMeter-1.0.0","m³/(h·m³)",3600,0.000277777777777778,True
"Air Flow divided by Volume","HVAC","autodesk.spec.aec.hvac:airFlowDividedByVolume-2.0.0","HVAC_AIRFLOW_DIVIDED_BY_VOLUME","Liters per second cubic meter","autodesk.unit.unit:litersPerSecondCubicMeter-1.0.1","L/(s·m³)",1000,0.001,True
"Angular Speed","HVAC","autodesk.spec.aec.hvac:angularSpeed-2.0.0","HVAC_ANGULAR_SPEED","Revolutions per minute","autodesk.unit.unit:revolutionsPerMinute-1.0.0","RPM",9.54929658551373,0.10471975511966,True
"Angular Speed","HVAC","autodesk.spec.aec.hvac:angularSpeed-2.0.0","HVAC_ANGULAR_SPEED","Revolutions per second","autodesk.unit.unit:revolutionsPerSecond-1.0.0","RPS",0.159154943091896,6.28318530717958,True
"Area divided by Cooling Load","HVAC","autodesk.spec.aec.hvac:areaDividedByCoolingLoad-2.0.0","HVAC_AREA_DIVIDED_BY_COOLING_LOAD","Square feet per thousand British thermal units per hour","autodesk.unit.unit:squareFeetPer1000BritishThermalUnitsPerHour-1.0.1","SF/MBh",3154.59074506305,0.00031699833062815,True
"Area divided by Cooling Load","HVAC","autodesk.spec.aec.hvac:areaDividedByCoolingLoad-2.0.0","HVAC_AREA_DIVIDED_BY_COOLING_LOAD","Square feet per ton of refrigeration","autodesk.unit.unit:squareFeetPerTonOfRefrigeration-1.0.1","SF/ton",37855.0889407566,2.64165275523459E-05,True
"Area divided by Cooling Load","HVAC","autodesk.spec.aec.hvac:areaDividedByCoolingLoad-2.0.0","HVAC_AREA_DIVIDED_BY_COOLING_LOAD","Square meters per kilowatt","autodesk.unit.unit:squareMetersPerKilowatt-1.0.1","m²/kW",1000,0.001,True
"Area divided by Heating Load","HVAC","autodesk.spec.aec.hvac:areaDividedByHeatingLoad-2.0.0","HVAC_AREA_DIVIDED_BY_HEATING_LOAD","Square feet per thousand British thermal units per hour","autodesk.unit.unit:squareFeetPer1000BritishThermalUnitsPerHour-1.0.1","SF/MBh",3154.59074506305,0.00031699833062815,True
